Date,Asset,Adjusted Close
2021-07-07,Reliance Industries,955.6793823242188
2021-07-08,Reliance Industries,947.7760009765625
2021-07-09,Reliance Industries,938.0836181640625
2021-07-12,Reliance Industries,943.9262084960938
2021-07-13,Reliance Industries,950.9918212890625
2021-07-14,Reliance Industries,944.7867431640625
2021-07-15,Reliance Industries,943.1336669921875
2021-07-16,Reliance Industries,956.7437744140625
2021-07-19,Reliance Industries,950.6520385742188
2021-07-20,Reliance Industries,948.3195190429688
2021-07-22,Reliance Industries,960.5029907226562
2021-07-23,Reliance Industries,953.7092895507812
2021-07-26,Reliance Industries,940.6426391601562
2021-07-27,Reliance Industries,930.746337890625
2021-07-28,Reliance Industries,922.7523193359375
2021-07-29,Reliance Industries,929.95361328125
2021-07-30,Reliance Industries,921.8237915039062
2021-08-02,Reliance Industries,938.6724243164062
2021-08-03,Reliance Industries,945.579345703125
2021-08-04,Reliance Industries,952.8261108398438
2021-08-05,Reliance Industries,966.6400756835938
2021-08-06,Reliance Industries,946.1681518554688
2021-08-09,Reliance Industries,940.7784423828125
2021-08-10,Reliance Industries,945.7152709960938
2021-08-11,Reliance Industries,958.9630737304688
2021-08-12,Reliance Industries,955.88330078125
2021-08-13,Reliance Industries,971.8032836914062
2021-08-16,Reliance Industries,984.4170532226562
2021-08-17,Reliance Industries,980.2276000976562
2021-08-18,Reliance Industries,984.0321044921875
2021-08-20,Reliance Industries,972.9808959960938
2021-08-23,Reliance Industries,979.3670654296875
2021-08-24,Reliance Industries,989.036865234375
2021-08-25,Reliance Industries,997.5969848632812
2021-08-26,Reliance Industries,1010.2107543945312
2021-08-27,Reliance Industries,1008.829345703125
2021-08-30,Reliance Industries,1028.23681640625
2021-08-31,Reliance Industries,1022.7565307617188
2021-09-01,Reliance Industries,1026.810302734375
2021-09-02,Reliance Industries,1039.1749267578125
2021-09-03,Reliance Industries,1081.79443359375
2021-09-06,Reliance Industries,1098.5977783203125
2021-09-07,Reliance Industries,1105.52734375
2021-09-08,Reliance Industries,1101.2020263671875
2021-09-09,Reliance Industries,1098.5977783203125
2021-09-13,Reliance Industries,1074.117431640625
2021-09-14,Reliance Industries,1072.7135009765625
2021-09-15,Reliance Industries,1077.1748046875
2021-09-16,Reliance Industries,1099.7752685546875
2021-09-17,Reliance Industries,1082.7227783203125
2021-09-20,Reliance Industries,1084.4439697265625
2021-09-21,Reliance Industries,1089.1317138671875
2021-09-22,Reliance Industries,1100.81689453125
2021-09-23,Reliance Industries,1127.7203369140625
2021-09-24,Reliance Industries,1124.459228515625
2021-09-27,Reliance Industries,1143.3685302734375
2021-09-28,Reliance Industries,1154.057373046875
2021-09-29,Reliance Industries,1144.90869140625
2021-09-30,Reliance Industries,1141.013427734375
